Sample;M1;M2;S0-1;S0-2;S7-1;S7-2;S7-A;S7-B;S14-A;S14-B;S21-A;S21-B
M1;0;0,85;0,82;0,82;0,78;0,78;0,78;0,76;0,78;0,8;0,75;0,79
M2;0,85;0;0,83;0,83;0,78;0,78;0,77;0,76;0,78;0,8;0,75;0,79
S0-1;0,82;0,83;0;0,87;0,81;0,81;0,8;0,8;0,8;0,8;0,78;0,8
S0-2;0,82;0,83;0,87;0;0,81;0,81;0,8;0,8;0,8;0,81;0,79;0,8
S7-1;0,78;0,78;0,81;0,81;0;0,89;0,88;0,87;0,88;0,85;0,87;0,85
S7-2;0,78;0,78;0,81;0,81;0,89;0;0,88;0,87;0,88;0,85;0,87;0,85
S7-A;0,78;0,77;0,8;0,8;0,88;0,88;0;0,88;0,89;0,86;0,89;0,86
S7-B;0,76;0,76;0,8;0,8;0,87;0,87;0,88;0;0,88;0,85;0,88;0,85
S14-A;0,78;0,78;0,8;0,8;0,88;0,88;0,89;0,88;0;0,87;0,89;0,87
S14-B;0,8;0,8;0,8;0,81;0,85;0,85;0,86;0,85;0,87;0;0,85;0,89
S21-A;0,75;0,75;0,78;0,79;0,87;0,87;0,89;0,88;0,89;0,85;0;0,85
S21-B;0,79;0,79;0,8;0,8;0,85;0,85;0,86;0,85;0,87;0,89;0,85;0
